iter	Passed	Remaining
0	321	320919
1	322	160805
2	323	107380
3	323	80639
4	324	64587
5	325	53897
6	326	46282
7	326	40544
8	327	36077
9	328	32504
10	329	29582
11	329	27148
12	330	25105
13	331	23352
14	332	21831
15	333	20494
16	334	19315
17	334	18264
18	335	17332
19	336	16498
20	337	15735
21	338	15040
22	339	14404
23	339	13821
24	340	13283
25	341	12791
26	342	12338
27	343	11919
28	344	11521
29	344	11149
30	345	10801
31	346	10474
32	346	10166
33	347	9880
34	348	9618
35	349	9361
36	350	9117
37	351	8885
38	351	8666
39	352	8458
40	353	8259
41	353	8073
42	354	7896
43	355	7724
44	356	7561
45	357	7406
46	357	7256
47	358	7113
48	359	6979
49	360	6849
50	361	6724
51	362	6610
52	363	6498
53	366	6414
54	367	6310
55	368	6208
56	369	6108
57	371	6040
58	373	5952
59	374	5862
60	375	5773
61	375	5687
62	376	5604
63	377	5523
64	378	5444
65	379	5367
66	380	5292
67	380	5214
68	381	5146
69	382	5078
70	383	5023
71	384	4961
72	385	4899
73	386	4839
74	387	4781
75	388	4729
76	390	4675
77	390	4621
78	391	4566
79	392	4512
80	393	4459
81	393	4408
82	394	4359
83	395	4313
84	396	4264
85	397	4219
86	397	4173
87	398	4130
88	399	4088
89	400	4047
90	401	4008
91	402	3970
92	403	3934
93	404	3897
94	405	3860
95	406	3824
96	406	3788
97	407	3754
98	408	3720
99	409	3686
100	410	3653
101	410	3617
102	411	3586
103	412	3554
104	413	3525
105	414	3495
106	415	3466
107	416	3436
108	416	3407
109	417	3379
110	418	3352
111	419	3325
112	420	3300
113	421	3275
114	422	3250
115	423	3224
116	424	3200
117	425	3176
118	425	3153
119	427	3131
120	427	3108
121	428	3086
122	429	3061
123	430	3038
124	430	3016
125	431	2995
126	432	2975
127	433	2953
128	434	2933
129	435	2913
130	436	2893
131	436	2873
132	437	2853
133	438	2835
134	439	2817
135	440	2799
136	441	2781
137	442	2762
138	443	2744
139	444	2727
140	445	2711
141	446	2695
142	447	2679
143	447	2662
144	448	2646
145	449	2630
146	450	2615
147	451	2600
148	452	2585
149	453	2569
150	454	2554
151	455	2540
152	456	2525
153	457	2511
154	458	2497
155	459	2483
156	459	2469
157	460	2456
158	461	2442
159	462	2429
160	463	2416
161	464	2403
162	465	2390
163	466	2377
164	467	2364
165	468	2352
166	469	2340
167	470	2328
168	471	2316
169	472	2304
170	472	2292
171	473	2281
172	474	2270
173	476	2260
174	477	2249
175	477	2237
176	478	2226
177	479	2215
178	480	2204
179	481	2194
180	482	2181
181	482	2170
182	483	2159
183	484	2148
184	485	2138
185	486	2127
186	486	2116
187	487	2107
188	488	2097
189	489	2087
190	490	2077
191	491	2067
192	492	2058
193	493	2048
194	494	2040
195	495	2031
196	496	2022
197	497	2013
198	498	2005
199	499	1996
200	500	1987
201	501	1979
202	502	1971
203	502	1962
204	503	1954
205	504	1945
206	505	1937
207	506	1930
208	507	1921
209	508	1914
210	509	1906
211	510	1898
212	511	1891
213	512	1883
214	513	1876
215	514	1868
216	515	1860
217	516	1852
218	517	1845
219	518	1840
220	519	1832
221	520	1825
222	521	1817
223	522	1810
224	523	1803
225	524	1796
226	525	1788
227	526	1781
228	526	1773
229	527	1766
230	528	1759
231	529	1751
232	529	1744
233	530	1737
234	531	1730
235	532	1723
236	533	1716
237	534	1709
238	534	1702
239	535	1695
240	536	1689
241	537	1683
242	538	1676
243	538	1669
244	539	1663
245	540	1656
246	541	1650
247	542	1643
248	542	1637
249	543	1630
250	544	1624
251	545	1618
252	545	1612
253	546	1605
254	547	1599
255	548	1593
256	549	1587
257	550	1581
258	550	1576
259	551	1570
260	552	1564
261	553	1558
262	554	1552
263	554	1546
264	555	1541
265	556	1535
266	557	1530
267	558	1524
268	558	1518
269	559	1513
270	560	1507
271	561	1501
272	562	1496
273	563	1491
274	563	1486
275	564	1481
276	565	1476
277	566	1470
278	567	1465
279	568	1460
280	568	1455
281	569	1450
282	570	1445
283	571	1440
284	572	1435
285	572	1430
286	573	1424
287	574	1419
288	575	1415
289	576	1410
290	577	1405
291	577	1401
292	578	1396
293	579	1391
294	580	1386
295	581	1382
296	581	1377
297	582	1372
298	583	1368
299	584	1363
300	585	1358
301	585	1354
302	586	1349
303	587	1345
304	588	1340
305	589	1336
306	590	1331
307	590	1327
308	591	1322
309	592	1318
310	593	1314
311	594	1309
312	594	1305
313	595	1301
314	596	1296
315	597	1292
316	597	1288
317	598	1283
318	599	1279
319	600	1275
320	601	1271
321	602	1267
322	602	1263
323	603	1259
324	604	1255
325	605	1251
326	606	1247
327	606	1243
328	607	1239
329	608	1235
330	609	1232
331	610	1227
332	611	1223
333	611	1220
334	612	1216
335	613	1212
336	614	1208
337	615	1205
338	616	1201
339	616	1197
340	617	1193
341	618	1190
342	619	1186
343	620	1182
344	621	1179
345	622	1175
346	622	1172
347	623	1168
348	624	1165
349	625	1161
350	626	1158
351	627	1154
352	628	1151
353	629	1148
354	629	1144
355	630	1141
356	631	1137
357	632	1134
358	633	1131
359	634	1127
360	635	1124
361	635	1120
362	636	1117
363	637	1114
364	638	1110
365	639	1107
366	640	1104
367	640	1100
368	641	1097
369	642	1093
370	643	1090
371	644	1087
372	645	1084
373	645	1081
374	646	1077
375	647	1074
376	648	1071
377	648	1067
378	649	1064
379	650	1061
380	651	1058
381	652	1055
382	652	1051
383	653	1048
384	654	1045
385	655	1042
386	656	1039
387	657	1036
388	657	1033
389	658	1030
390	659	1027
391	660	1023
392	660	1020
393	661	1017
394	662	1015
395	663	1012
396	664	1009
397	665	1006
398	666	1003
399	667	1000
400	668	998
401	669	995
402	670	992
403	671	990
404	671	987
405	672	984
406	673	981
407	674	978
408	675	975
409	676	972
410	677	970
411	678	967
412	678	964
413	679	962
414	680	959
415	681	956
416	682	954
417	683	951
418	684	948
419	684	945
420	685	942
421	686	940
422	687	937
423	688	934
424	688	932
425	689	929
426	690	926
427	691	924
428	692	921
429	692	918
430	693	916
431	694	913
432	695	910
433	696	908
434	697	905
435	697	902
436	698	900
437	699	897
438	700	895
439	701	892
440	702	890
441	702	887
442	703	884
443	704	882
444	705	879
445	706	877
446	707	875
447	708	872
448	708	869
449	709	867
450	710	864
451	711	862
452	712	859
453	713	857
454	713	855
455	714	852
456	715	850
457	716	847
458	716	845
459	717	842
460	718	840
461	719	838
462	720	835
463	721	833
464	722	831
465	723	828
466	724	826
467	725	824
468	725	821
469	726	819
470	727	817
471	728	814
472	729	812
473	729	809
474	730	807
475	731	805
476	732	803
477	733	800
478	734	798
479	735	796
480	735	794
481	736	791
482	737	789
483	738	787
484	739	785
485	740	783
486	741	781
487	742	778
488	743	776
489	744	774
490	745	772
491	745	770
492	746	767
493	747	765
494	748	763
495	749	761
496	750	759
497	750	756
498	751	754
499	752	752
500	753	750
501	753	747
502	754	745
503	755	743
504	756	741
505	757	739
506	758	737
507	758	735
508	759	732
509	760	730
510	761	728
511	762	726
512	763	724
513	763	722
514	764	720
515	765	718
516	766	715
517	767	713
518	767	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	772	699
525	773	697
526	774	695
527	775	693
528	776	691
529	777	689
530	777	686
531	778	684
532	779	682
533	780	680
534	781	678
535	782	676
536	782	674
537	783	672
538	784	670
539	785	668
540	785	666
541	786	664
542	787	662
543	788	661
544	789	659
545	790	657
546	791	655
547	792	653
548	793	652
549	794	650
550	795	648
551	796	646
552	797	644
553	798	642
554	799	640
555	800	639
556	801	637
557	801	635
558	802	633
559	803	631
560	804	629
561	805	627
562	805	625
563	806	623
564	807	621
565	808	619
566	809	617
567	810	616
568	810	614
569	811	612
570	812	610
571	813	608
572	814	606
573	815	604
574	815	603
575	816	601
576	817	599
577	818	597
578	819	595
579	820	594
580	821	592
581	822	590
582	823	588
583	823	586
584	824	585
585	825	583
586	826	581
587	827	579
588	828	577
589	828	575
590	829	574
591	830	572
592	831	570
593	832	568
594	833	567
595	833	565
596	834	563
597	835	561
598	836	559
599	837	558
600	838	556
601	839	554
602	839	552
603	840	551
604	841	549
605	842	547
606	842	545
607	843	544
608	844	542
609	845	540
610	846	538
611	847	537
612	847	535
613	848	533
614	849	531
615	850	530
616	851	528
617	852	526
618	852	524
619	853	523
620	854	521
621	855	519
622	856	518
623	857	516
624	858	514
625	858	513
626	859	511
627	860	509
628	860	507
629	862	506
630	863	504
631	863	503
632	864	501
633	865	499
634	866	497
635	867	496
636	867	494
637	868	492
638	869	491
639	870	489
640	871	487
641	872	486
642	872	484
643	873	482
644	874	481
645	875	479
646	876	478
647	877	476
648	877	474
649	878	473
650	879	471
651	880	469
652	881	468
653	881	466
654	882	465
655	883	463
656	884	461
657	885	460
658	885	458
659	886	456
660	887	455
661	888	453
662	889	452
663	890	450
664	890	448
665	891	447
666	892	445
667	893	444
668	894	442
669	895	440
670	895	439
671	896	437
672	897	436
673	898	434
674	899	432
675	900	431
676	901	429
677	901	428
678	902	426
679	903	425
680	904	423
681	905	422
682	905	420
683	906	419
684	907	417
685	908	415
686	909	414
687	910	412
688	911	411
689	912	409
690	913	408
691	914	406
692	914	405
693	915	403
694	916	402
695	917	400
696	918	399
697	919	397
698	920	396
699	921	394
700	921	393
701	922	391
702	923	390
703	924	388
704	925	387
705	925	385
706	926	384
707	927	382
708	928	381
709	929	379
710	929	378
711	930	376
712	931	375
713	932	373
714	933	372
715	934	370
716	935	369
717	935	367
718	936	366
719	937	364
720	938	363
721	939	361
722	940	360
723	940	358
724	941	357
725	942	355
726	943	354
727	944	352
728	945	351
729	946	349
730	946	348
731	947	346
732	948	345
733	949	344
734	950	342
735	951	341
736	951	339
737	952	338
738	953	336
739	954	335
740	955	333
741	955	332
742	956	330
743	957	329
744	958	328
745	959	326
746	960	325
747	960	323
748	961	322
749	962	320
750	963	319
751	964	318
752	965	316
753	965	315
754	966	313
755	967	312
756	968	310
757	969	309
758	970	308
759	970	306
760	971	305
761	972	303
762	973	302
763	974	300
764	975	299
765	976	298
766	977	296
767	977	295
768	978	293
769	979	292
770	980	291
771	981	289
772	982	288
773	982	286
774	983	285
775	984	284
776	985	282
777	985	281
778	986	279
779	987	278
780	988	277
781	989	275
782	989	274
783	990	272
784	991	271
785	992	270
786	993	268
787	994	267
788	994	266
789	995	264
790	996	263
791	997	261
792	998	260
793	999	259
794	999	257
795	1000	256
796	1001	255
797	1002	253
798	1002	252
799	1003	250
800	1004	249
801	1005	248
802	1006	246
803	1006	245
804	1007	244
805	1008	242
806	1009	241
807	1010	240
808	1010	238
809	1011	237
810	1012	235
811	1013	234
812	1014	233
813	1014	231
814	1015	230
815	1016	229
816	1017	227
817	1017	226
818	1018	225
819	1019	223
820	1020	222
821	1021	221
822	1022	219
823	1022	218
824	1023	217
825	1024	215
826	1025	214
827	1026	213
828	1026	211
829	1027	210
830	1028	209
831	1029	207
832	1030	206
833	1030	205
834	1031	203
835	1032	202
836	1033	201
837	1034	199
838	1034	198
839	1035	197
840	1036	195
841	1037	194
842	1038	193
843	1038	192
844	1039	190
845	1040	189
846	1041	188
847	1041	186
848	1042	185
849	1043	184
850	1044	182
851	1045	181
852	1045	180
853	1046	178
854	1047	177
855	1048	176
856	1049	175
857	1049	173
858	1050	172
859	1051	171
860	1052	169
861	1053	168
862	1053	167
863	1054	166
864	1055	164
865	1056	163
866	1056	162
